ID Info,,ASIN,URL,title,title_short,date_released,Maker Info,Brand,manufacturer,Model Name,item_model,cntry_of_origin,Is Discontinued By Manufacturer,Monetary Info,price_actual,price_list,Hardware,Operating System,OS,Connectivity Technology,Wireless Communication Standard,GPS,Wireless communication technologies,Display technology,Other display features,Human Interface Input,memory_capacity,memory_capacity_2,memory_capacity_mb,Battery,Battery Cell Composition,battery_type,battery_num,battery_capac,Battery Life,Physical Features,Style,Shape,Screen Size,Starting Units of Measurement,scrn_size_inch,Color,Product Dimensions,Item Weight,raw_wght_units,weight_in_oz,"Info about Listing (ie. Review info, ratings, etc.)",rvw_avg,Customer Reviews,cutomer_reviews_1,cutomer_reviews_2,cutomer_reviews_3,num_of_ratings,Best Sellers Rank,,Special Feature,See More?
,68,,https://www.amazon.com/Baaletc-Compatible-Inspire-Wristband-Bracelets/dp/B0C85HK9WG/ref=zg_bs_g_5393958011_d_sccl_3/145-0980347-9463126?psc=1,"Baaletc Compatible with Fitbit Inspire 3 Bands for Men Women, Soft Silicone Sport Wristband Strap Band Bracelets for Inspire 3, Small Large",Baaletc_Compatible_with_F,,,,,,,,,,$6.96,Check Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,,,,,#VALUE!,,,,FALSE
,7,B07H2XNZ3T,https://www.amazon.com/Hamile-Compatible-Waterproof-Replacement-Wristband/dp/B07H2XNZ3T/ref=zg_bs_g_5393958011_d_sccl_21/145-0980347-9463126?psc=1,"Hamile Bands Compatible with Fitbit Charge 4 / Fitbit Charge 3 / Fitbit Charge 3 SE, Waterproof Replacement Watch Strap Fitness Sport Band Wristband for Women Men, Large, Black",Hamile_Bands_Compatible_w,9/4/2018,,Hamile,Hamile,,Charge3-Lingxing-L-Heise,,No,,$6.99,Check Page,,,,,,,,,Wireless,Buttons,,,,,,,,,,,Classic,Rectangular,1.3,in,1.3,1-Black,5 x 5 x 0.7 inches,0.528,ozm,0.528,,4.5,"4.5
8,625 ratings
4.5 out of 5 stars",4.5,"8,625 ratings",4.5 out of 5 stars,8625,"#18,388 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#98 in Activity & Fitness Trackers",,"Waterproof, Durable",FALSE
,10,B074M32SY4,https://www.amazon.com/GEAK-Fitbit-Bands-Replacement-3Pack/dp/B074M32SY4/ref=zg_bs_g_5393958011_d_sccl_12/145-0980347-9463126?psc=1,"GEAK Bands Compatible with Fitbit Alta and Fitbit Alta HR, 3 Pack Soft Silicone Wristbands for Fitbit Alta HR Bands with Secure Metal Buckle for Men Women,Small Large",GEAK_Bands_Compatible_wit,8/6/2017,,GEAK,,,,,,,$6.99,Check Page,,,,,Bluetooth,,,,,,,,,,,,,,,,freestyle,Rectangular,6.7,in,6.7,Black/Gray/Dark Blue,,,,,,4.5,"4.5
1,113 ratings
4.5 out of 5 stars",4.5,"1,113 ratings",4.5 out of 5 stars,1113,"#15,471 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#86 in Activity & Fitness Trackers",,Durable,FALSE
,46,,https://www.amazon.com/AK-Compatible-Replacement-Wristbands-Starlight/dp/B0CH121L3C/ref=zg_bs_g_5393958011_d_sccl_25/145-0980347-9463126?psc=1,"AK Sport Band Compatible with Fitbit Luxe Bands for Women Men, Soft Silicone Replacement Sport Straps Wristbands for Fitbit Luxe Fitness and Wellness Tracker",AK_Sport_Band_Compatible_,,,,,,,,,,$6.99,Check Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,,,,,#VALUE!,,,,FALSE
,51,,https://www.amazon.com/Replacement-Compatible-Silicone-Fitness-Wristbands/dp/B08GH776QR/ref=zg_bs_g_5393958011_d_sccl_33/145-0980347-9463126?psc=1,"Replacement Bands Compatible with Fitbit Charge 4 / Fitbit Charge 3 Bands for Women Men, Silicone Fitness Sport Wristbands for Women Men Small Large",Replacement_Bands_Compati,,,,,,,,,,$6.99,Check Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,#VALUE!,,,,FALSE
,73,,https://www.amazon.com/AK-Compatible-Replacement-Wristbands-Advanced/dp/B0CPJ74QVR/ref=zg_bs_g_5393958011_d_sccl_13/145-0980347-9463126?psc=1,"AK Sport Band Compatible with Fitbit Charge 6 Bands/Fitbit Charge 5 Bands Women Men, Classic Soft Replacement Straps Wristbands for Fitbit Charge 6/5 Advanced Fitness & Health Tracker",AK_Sport_Band_Compatible_,,,,,,,,,,$6.99,Check Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,,,,,#VALUE!,,,,FALSE
,91,B0CDLLMJV7,https://www.amazon.com/Maledan-Compatible-Waterproof-Replacement-Wristbands/dp/B0CDLLMJV7/ref=zg_bs_g_5393958011_d_sccl_89/145-0980347-9463126?psc=1,"Maledan Compatible with Fitbit Charge 5 Bands/Charge 6 Bands Women Men, Soft Waterproof Replacement Strap Sport Wristbands for Fitbit Charge 5/Charge 6 Fitness Tracker, Large, Black",Maledan_Compatible_with_F,8/3/2023,,,Sanmuyin Maoyi Youxiangongsi,,,,,,$6.99,$14.98,,,,,,Built-in GPS,,,CE,Buttons,,,,,,,,,,,,,,,,Black,,0.317,ozm,0.317,,4.2,"4.2
145 ratings
4.2 out of 5 stars",4.2,145 ratings,4.2 out of 5 stars,145,"#23,169 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#113 in Activity & Fitness Trackers",,,FALSE
,53,B088K7DCRZ,https://www.amazon.com/Compatible-Fitbit-Classic-Special-Replacement/dp/B088K7DCRZ/ref=zg_bs_g_5393958011_d_sccl_35/145-0980347-9463126?psc=1,"3 Pack Bands Compatible with Fitbit Charge 2, Classic & Special Edition Replacement Bands for Fitbit Charge 2, Women Men",3_Pack_Bands_Compatible_w,5/13/2020,,,OYODSS,,,,,,$7.98,Check Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.08,ozm,2.08,,4.6,"4.6
6,496 ratings
4.6 out of 5 stars",4.6,"6,496 ratings",4.6 out of 5 stars,6496,"#6,149 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#47 in Activity & Fitness Trackers",,,FALSE
,32,B07T4JNW2P,https://www.amazon.com/Compatible-Inspire-Wristbands-Waterproof-Fitness/dp/B07T4JNW2P/ref=zg_bs_g_5393958011_d_sccl_6/145-0980347-9463126?psc=1,"[3 Pack] Soft TPU Bands Compatible with Fitbit Inspire 2 / Fitbit Inspire HR/Fitbit Inspire/Fitbit Ace 2 Wristbands Sports Waterproof Straps for Fitbit Inspire HR (01 Rose Gold/Gold/Silver, Small)",[3_Pack]_Soft_TPU_Bands_C,6/14/2019,,,AK,,AK116951KA,,,,$7.99,Check Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.13,ozm,1.13,,4.3,"4.3
8,084 ratings
4.3 out of 5 stars",4.3,"8,084 ratings",4.3 out of 5 stars,8084,"#15,240 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#88 in Activity & Fitness Trackers",,,FALSE
,81,B07K7RVKNM,https://www.amazon.com/Maledan-Compatible-Replacement-Accessories-Breathable/dp/B07K7RVKNM/ref=zg_bs_g_5393958011_d_sccl_26/145-0980347-9463126?psc=1,"Maledan Bands Compatible with Fitbit Charge 3/ Charge 4 Women Men, Breathable Sport Band Replacement Wristbands with Air Holes for Charge 4/ Charge 3/ Charge 3 SE Fitness Tracker, 3-Pack",Maledan_Bands_Compatible_,11/6/2018,,,,,,,,,$7.99,$2.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,"4.6
8,497 ratings
4.6 out of 5 stars",4.6,"8,497 ratings",4.6 out of 5 stars,8497,"#21,285 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#107 in Activity & Fitness Trackers",,,FALSE
