ID Info,Initial Order,ASIN,URL,title,title_short,date_released,Release date,Maker Info,Brand,manufacturer,Model Name,item_model,cntry_of_origin,Is Discontinued By Manufacturer,Monetary Info,price_actual,price_list,Hardware,display_type,Operating System,Connectivity Technology,wireless_comm_stndrd,gps_raw,memory_capacity,memory_capacity_2,memory_capacity_mb,Battery,Battery Cell Composition,battery_type,batter_capacity,Battery Power Rating,Physical Features,Shape,Screen Size,Starting Units of Measurement,scrn_size_inch,item_weight_raw,raw_wght_units,weight_in_oz,prod_dim_raw,standing_screen_dsply_size,Style,Color,package_dmnsn,Display resolution,Scanner Resolution,"Info about Listing (ie. Review info, ratings, etc.)",rvw_avg,cutomer_reviews,cutomer_reviews_1,cutomer_reviews_2,cutomer_reviews_3,num_of_ratings,best_sellers_rank,dept,Language,,Special Feature,See More?,OS,Wireless communication technologies,Connectivity technologies,Special features,Display technology,Other display features,Human Interface Input,Whats in the box,Weight,WeightUnit,weight_oz,Ram Memory Installed Size,Ram_unit,ram_converted,,Age Range (Description),Compatible Devices,Case Material,Type of item,Target Audience,Form Factor,Manufacturer recommended age,Material,UPC
,61,B09Q5SSYFH,https://www.amazon.com/Choiknbo-Fitness-Tracker-SmartWatch-Waterproof/dp/B09Q5SSYFH/ref=zg_bs_g_7939901011_d_sccl_11/139-0075924-6532933?psc=1,"Smart Watch for Men Women SmartWatch 1.83"" for iPhone Samsung Android Phone Compatible, Fitness Tracker Watch with Pedometer, Heart Rate/Sleep Monitor, Blood Oxygen, IP68 Waterproof",Smart_Watch_for_Men_Women,2/8/2022,,,Choiknbo,Choiknbo,,,China,,,$18.99,$99.99,,,,USB,Bluetooth,TRUE,64,Mibyte,0.0625,,Lithium Ion,1 Lithium Polymer batteries required. (included),230 Milliamp Hours,,,Heart,1.83,in,1.83,1.62,ozm,1.62,17.5 x 15 x 3.9 inches,1.83 Inches,,Black,,,,,4.10,"4.1
1,979 ratings
4.1 out of 5 stars",4.1,"1,979 ratings",4.1 out of 5 stars,"1,979","#1,887 in Electronics (See Top 100 in Electronics)
#31 in Smartwatches","mens, womens",,,"Heart Rate Monitor, Blood Pressure Monitor, Oxymeter (SpO2), Sleep Monitor, Pedometer, Activity Tracker, Email, Lightweight, Multisport Tracker, Notifications, Phone Call, Sedentary Remainder, Time Display, Touch Screen, Alarm Clock, Weather Forecast",FALSE,,,USB,"Heart Rate Monitor, Blood Pressure Monitor, Oxymeter (SpO2), Sleep Monitor, Pedometer, Activity Tracker, Email, Lightweight, Multisport Tracker, Notifications, Phone Call, Sedentary Remainder, Time Display, Touch Screen, Alarm Clock, Weather Forecast",LCD,Wireless,Touchscreen,5.1 Bluetooth,1.62,ozm,1.62,,,,,,,,,,,,,
,34,B09TR2NNJS,https://www.amazon.com/TORJALPH-Compatible-Samsung-Waterproof-Bluetooh/dp/B09TR2NNJS/ref=zg_bs_g_7939901011_d_sccl_34/139-0075924-6532933?psc=1,"Smart Watch for Men Women Compatible with iPhone Samsung Android Phone 1.69 inch Full Touch Screen IP68 Waterproof Bluetooh Fitness Tracker Heart Rate / Sleep Monitor, Black",Smart_Watch_for_Men_Women,2/28/2022,,,TORJALPH,TORJALPH,,,,,,$18.99,$20.99,,,Android,Bluetooth,Bluetooth,,,,,,Lithium Polymer,1 Lithium Ion batteries required.,,,,Heart,1.69,in,1.69,0.09,lbm,1.44,10.06 x 1.77 x 0.41 inches,1.69 Inches,Modern,black,,,,,4.10,"4.1
1,192 ratings
4.1 out of 5 stars",4.1,"1,192 ratings",4.1 out of 5 stars,"1,192","#1,520 in Electronics (See Top 100 in Electronics)
#21 in Smartwatches",,,,"Alarm Clock, Weather Forecast, Heart Rate Monitor, Oxymeter (SpO2), Music Player, Sleep Monitor, Pedometer, Activity Tracker, Blood Pressure Monitor, Email, Lightweight, Multisport Tracker, Notifications, Phone Call, Sedentary Remainder, Time Display, Touch Screen",FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,21,B0C1GNXTSW,https://www.amazon.com/Tracking-Touchscreen-Smartwatch-Waterproof-Pedometer/dp/B0C1GNXTSW/ref=zg_bs_g_7939901011_d_sccl_21/139-0075924-6532933?psc=1,"Smart Watch, Fitness Tracker with Heart Rate Monitor, Blood Oxygen, Sleep Tracking, 1.5 Inch Touchscreen Smartwatch for Android iOS Swimming Waterproof Pedometer Step Calories Tracker for Women Men","Smart_Watch,_Fitness_Trac",4/4/2023,,,TYKOIT,TYKOIT,,,,,,$19.99,$21.99,,,"Android, iOS, & Bluetooth",Wireless,Bluetooth,GPS Via Smartphone,,,,,Lithium Polymer,1 Lithium Ion batteries required. (included),5040 Milliamp Hours,210 Milliamp Hours,,Square,41,mm,1.614,2.39,ozm,2.39,6.85 x 3.3 x 0.6 inches,41 Millimeters,,Light Purple,,,,,4.00,"4.0
2,305 ratings
4.0 out of 5 stars",4,"2,305 ratings",4.0 out of 5 stars,"2,305","#1,100 in Electronics (See Top 100 in Electronics)
#14 in Smartwatches",,,,"Smart Notification: Email, Messages from App, Call, SNS Reminder, 5ATM Waterproof, Multiple Sport Modes, Activity Tracker, Sleep Monitor, Heart Rate Monitor, Blood Oxygen Monitor, Pedometer, Calories Tracker, Time Display, 1.5 inch Full Color Touchscreen, Built-in Dials, Customized Watch Face, Brightness Settings, Do Not Disturb Mode, Night Mode, Sedentary Reminder, Timer, Stopwatch, Breath Training, Raise to Wake, Music Control, Alarm Clock, Drinking Reminder, Screen Duration Setting",FALSE,"Android 6.0 / iOS 11.0 or above, Bluetooth 4.0 or above",Bluetooth,Wireless,"Smart Notification: Email, Messages from App, Call, SNS Reminder, 5ATM Waterproof, Multiple Sport Modes, Activity Tracker, Sleep Monitor, Heart Rate Monitor, Blood Oxygen Monitor, Pedometer, Calories Tracker, Time Display, 1.5 inch Full Color Touchscreen, Built-in Dials, Customized Watch Face, Brightness Settings, Do Not Disturb Mode, Night Mode, Sedentary Reminder, Timer, Stopwatch, Breath Training, Raise to Wake, Music Control, Alarm Clock, Drinking Reminder, Screen Duration Setting",,Wireless,Touchscreen,,,,,,,,,,,,,,,,,
,64,B0C4GPPD1H,https://www.amazon.com/TOOBUR-Fitness-Tracker-Waterproof-Compatible/dp/B0C4GPPD1H/ref=zg_bs_g_7939901011_d_sccl_14/139-0075924-6532933?psc=1,"Smart Watch for Men Women Alexa Built-in, 1.95"" Fitness Tracker with Answer/Make Calls, IP68 Waterproof/Heart Rate/Sleep Tracker/100 Sports, Fitness Watch Compatible Android iOS",Smart_Watch_for_Men_Women,5/6/2023,,,TOOBUR,TOOBUR,IDW16,IDW16,China,,,$28.44,$49.99,,,Android & iOS,Bluetooth,Bluetooth,GPS Via Smartphone,,,,,Lithium Polymer,1 Lithium Metal batteries required. (included),,,,Rectangular,1.95,in,1.95,0.22,lbm,3.52,10.24 x 1.5 x 0.75 inches,1.95 Inches,,,,,,,4.10,"4.1
5,489 ratings
4.1 out of 5 stars",4.1,"5,489 ratings",4.1 out of 5 stars,"5,489","#3,417 in Electronics (See Top 100 in Electronics)
#86 in Smartwatches",,,,"Alexa Built-in, Compatible with Bluetooth Calls, iOS & Android Compatible, Notifications, Heart Rate, Sleep Tracker, Step Calorie Counter, Activity Tracker, 100 Sport Modes, IP68 Waterproof, Find My Phone",FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,92,B0CQ7GBV5B,https://www.amazon.com/IOWODO-Smart-Watch-Men-Women/dp/B0CQ7GBV5B/ref=zg_bs_g_7939901011_d_sccl_92/139-0075924-6532933?psc=1,"IOWODO Smart Watch for Men Women - 1.85''HD Screen with Make and Answer Calls, with AI Voice Assistant, SpO2/Heart Rate/Sleep Monitor, 100+ Sports Modes, Smartwatch for Android and iOS (2 Straps)",IOWODO_Smart_Watch_for_Me,12/14/2023,,,IOWODO,IOWODO,,R30 Pro,China,,,$28.57,$33.39,,,Android & iOS,Bluetooth,Bluetooth,No GPS,,,,,Lithium Ion,1 Lithium Ion batteries required. (included),300 Milliamp Hours,,,Rectangular,1.85,in,1.85,0.22,lbm,3.52,,1.85 Inches,,,,,,,4.30,"4.3
2,462 ratings
4.3 out of 5 stars",4.3,"2,462 ratings",4.3 out of 5 stars,"2,462","#3,091 in Electronics (See Top 100 in Electronics)
#72 in Smartwatches",unisex-adult,,,"Weather Forecast, Alarm Clock, Fitness Tracker, Sleep Monitor, Heart Rate Monitor, Calculator, Blood Oxygen (SpO2) Monitoring, Information Reminder, Pedometer, Sports Tracker, Bluetooth Calls, Music Control, Custom Dials",FALSE,,,,,,,,,,,,0.0016,Mibyte,0.000002,0.04 x 0.04 x 0.04 inches,,,,,,,,,
,17,B0C4GN5QZ1,https://www.amazon.com/TOOBUR-Fitness-Tracker-Waterproof-Compatible/dp/B0C4GN5QZ1/ref=zg_bs_g_7939901011_d_sccl_17/139-0075924-6532933?psc=1,"Smart Watch for Women Alexa Built-in, 1.95"" Fitness Tracker with Answer/Make Calls, IP68 Waterproof/Heart Rate/Sleep Tracker/100 Sport Modes, Fitness Watch Compatible Android iOS",Smart_Watch_for_Women_Ale,5/6/2023,,,TOOBUR,TOOBUR,IDW16,IDW16,China,,,$29.95,$69.99,,,Android & iOS,Bluetooth,Bluetooth,,,,,,Lithium Polymer,1 Lithium Metal batteries required. (included),,,,Rectangular,1.95,in,1.95,3.53,ozm,3.53,10.24 x 1.5 x 0.75 inches,1.95 Inches,Casual,,,,,,4.10,"4.1
5,489 ratings
4.1 out of 5 stars",4.1,"5,489 ratings",4.1 out of 5 stars,"5,489","#1,553 in Electronics (See Top 100 in Electronics)
#22 in Smartwatches",,,,"Alexa Built-in, Compatible with Bluetooth Calls, iOS & Android Compatible, Notifications, Heart Rate, Sleep Tracker, Step Calorie Counter, Activity Tracker, 100 Sport Modes, IP68 Waterproof, Find My Phone",FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,52,B0C8CK2TRK,https://www.amazon.com/RUIMEN-Watches-Compatible-Android-Waterproof/dp/B0C8CK2TRK/ref=zg_bs_g_7939901011_d_sccl_2/139-0075924-6532933?psc=1,"RUIMEN Smart Watches for Women Men (Answer/Make Calls) Compatible with iPhone/Android Phones, 1.85"" HD Screen Fitness Tracker Heart Rate Monitor 100+ Sports Tracker Watch Waterproof (Purple)",RUIMEN_Smart_Watches_for_,6/30/2023,,,RUIMEN,RUIMEN,,D1,,,,$29.99,$49.99,,,Android & iOS,Bluetooth,Bluetooth,,128,Mibyte,0.125,,Lithium Polymer,1 Lithium Polymer batteries required. (included),300 Milliamp Hours,,,Rectangular,1.85,in,1.85,0.1,kg,3.527,1.46 x 9.84 x 0.04 inches,1.85 Inches,,,,,,,4.00,"4.0
8,241 ratings
4.0 out of 5 stars",4,"8,241 ratings",4.0 out of 5 stars,"8,241","#3,315 in Electronics (See Top 100 in Electronics)
#82 in Smartwatches",Unisex-Adult,English,,"100+ Sports Tracker, Make/Answer Calls, Personalized Watch Faces, Heart Rate Monitor, Blood Oxygen Monitor, IP68 Waterproof, Sleep Tracker, Call/Message Alerts, Alarm Clocks, Music Controller, Timer, Stopwatch, Calculator, Voice Assistant, Weather Forecast",FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,68,B0C815F81Q,https://www.amazon.com/Parsonver-Fitness-Waterproof-Monitor-Activity/dp/B0C815F81Q/ref=zg_bs_g_7939901011_d_sccl_18/139-0075924-6532933?psc=1,"Parsonver Smart Watch for Men Women(Answer/Make Calls), HD Screen Fitness Tracker IP68 Waterproof 100+ Sport Modes, Heart Rate Sleep Monitor, Pedometer, Smartwatch for Android Phones/iPhone Compatible",Parsonver_Smart_Watch_for,6/14/2023,,,,Parsonver,,SR1,,,,$32.99,$39.99,,,Android & iOS,Bluetooth,Bluetooth,GPS Via Smartphone,128,Mibyte,0.125,,Lithium Ion,1 Lithium Polymer batteries required. (included),250 Milliamp Hours,,,Round,1.32,in,1.32,40,g,1.411,10.24 x 1.77 x 0.41 inches,1.32 Inches,,,,,,,4.10,"4.1
2,720 ratings
4.1 out of 5 stars",4.1,"2,720 ratings",4.1 out of 5 stars,"2,720","#3,086 in Electronics (See Top 100 in Electronics)
#73 in Smartwatches",,,,"Bluetooth 5.3 Call (Answer/Make Calls), SMS, Texts, and App notifications, 24-Hour Heart Rate, Blood Oxygen (SpO2), Sleep, Stress Health Guard, 100+ Sports Modes, IP68 Waterproof, 200+ Dial Selections, Custom Dial, Activity Tracker, Workout Records, iPhone & Android Compatible, Breathing Training Monitoring, Female Menstrual Cycle, Drink Water Reminder, Sedentary Reminder, Ringtones, Lightweight, Email, Timers, Multi Sport Tracker, Find Your Phone, Music Control, Pedometer/Calories/Distance Record, Alarm Clock, Flashlight, Step Calorie Activity Tracker, Stopwatch, Brightness Adjustment, Removable 22mm Strap, Camera Control, Raise to Wake, etc.",FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,31,B0D4LXYHGQ,https://www.amazon.com/Jacoosa-Message-Reminder-Activity-Trackers/dp/B0D4LXYHGQ/ref=zg_bs_g_7939901011_d_sccl_31/139-0075924-6532933?psc=1,"Smart Watch, 1.85"" HD Smartwatch for Men Women(Answer/Make Calls), Fitness Watch with 120+ Sport Modes, IP68 Waterproof, Heart Rate/Sleep Monitor, Activity Trackers for iOS/Android (Black)","Smart_Watch,_1.85""_HD_Sma",5/20/2024,,,,Jacoosa,,L70,,,,$34.99,$99.99,,,"Smartwatch, Android 4.0+, iOS 9.0+",Bluetooth,Bluetooth,GPS Via Smartphone,128,Mibyte,0.125,,Lithium Polymer,1 Lithium Polymer batteries required. (included),350 Amp Hours,,,Square,1.85,in,1.85,,,,,1.85 Inches,,,,,,,4.10,"4.1
171 ratings
4.1 out of 5 stars",4.1,171 ratings,4.1 out of 5 stars,171,"#13,512 in Electronics (See Top 100 in Electronics)
#352 in Smartwatches",,,,"Bluetooth Call, Message Reminder, Health Monitoring, Fitness Tracker, stopwatch, alarm clock, find your phone, sedentary reminder, music control, weather forecast, don‘t disturb mode, brightness adjustment, Camera, female cycle tracking, 1.85"" HD Color Screen, Voice Call, 100+ Sports Modes, IP68 Waterproof",FALSE,,,,,,,,,,,,128,Mibyte,0.125,,,,,,,,,,
,27,B0D5CKLKP3,https://www.amazon.com/Watches-Samsung-Compatible-Waterproof-Pedometer/dp/B0D5CKLKP3/ref=zg_bs_g_7939901011_d_sccl_27/139-0075924-6532933?psc=1,"Smart Watches for Women [400+Watch Faces/Calls/Female Health] Samsung Galaxy Android Apple iPhone Compatible, Waterproof Fitness Watches for Women Step Tracker Fitness Tracker Watch Womens, Pedometer",Smart_Watches_for_Women_[,6/7/2024,,,,HASAKEI,,G53 Starlight,,,,$36.99,$99.99,,,Android & iOS,Bluetooth,Bluetooth,GPS Via Smartphone,128,Mibyte,0.125,,Lithium Polymer,1 Lithium Polymer batteries required. (included),250 Milliamp Hours,,,Round,1.27,in,1.27,4.2,ozm,4.2,,1.27 Inches,,,10.91 x 3.62 x 0.71 inches,,,,4.60,"4.6
584 ratings
4.6 out of 5 stars",4.6,584 ratings,4.6 out of 5 stars,584,"#42,233 in Electronics (See Top 100 in Electronics)
#1,004 in Smartwatches",womens,,,"400+ Personalized Watch Faces, Bluetooth Voice Call, Text Messaging, Ecg,Camera Contral, APPs Notification, Female Cycle Tracking, 70 Sport Modes, Ultra-Long Battery Life, Activity Tracker, fitness tracker, Heart Rate Monitor, Blood Oxygen Monitor, IP68 Waterproof, Sleep Tracker, Call/Message Alerts, Sedentary Reminder, medication reminder, Sedentary Reminder,Alarm Clock, Phone Call, Time Display, Calendaring, Daily Workout Memory, Music Player,Weather Forecast",FALSE,,,,,,,,,,,,,,,,,,,,,,,,
