URL,title,price_actual,price_list,Operating System,Special Feature,Connectivity Technology,Wireless Communication Standard,Battery Cell Composition,GPS,Shape,Screen Size,Brand,Model Name,Product Dimensions,Item Weight,ASIN,Item model number,Batteries,Customer Reviews,Best Sellers Rank,OS,Connectivity technologies,Special features,Other display features,Human Interface Input,Color,Whats in the box,Manufacturer,Country of Origin,Date First Available,Weight,Standing screen display size,rvw_avg,Memory Storage Capacity,Battery Capacity,Compatible Devices,Battery Life,Sensor Type,Battery Description,UPC,Style,Target Audience,Age Range (Description),Battery Power Rating,Ram Memory Installed Size,Package Dimensions,Wireless communication technologies,Display technology,Department,Units,Is Discontinued By Manufacturer,Language,Form Factor,Material,Thickness,Band Material Type
https://www.amazon.com/Fitbit-Management-Intensity-Tracking-Midnight/dp/B0B5F9SZW7/ref=zg_bs_g_5393958011_d_sccl_1/145-0980347-9463126?psc=1,"Fitbit Inspire 3 Health &-Fitness-Tracker with Stress Management, Workout Intensity, Sleep Tracking, 24/7 Heart Rate and more, Midnight Zen/Black One Size (S & L Bands Included)",99.95,79.99,android,Heart Rate Monitor,Bluetooth,Bluetooth,Lithium Ion,GPS Via Smartphone,Rectangular,1968.51 Inches,Fitbit,Inspire 3,0.71 x 0.43 x 1.54 inches,0.96 ounces,B0B5F9SZW7,B0B5F9SZW7,1 Lithium Ion batteries required. (included),"4.3
13,996 ratings
4.3 out of 5 stars","#25 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#1 in Activity & Fitness Trackers
#1 in Electronics & Gadgets",android,Bluetooth,Heart Rate Monitor,Wireless,Touchscreen,Black/Midnight Zen,"Tracker, Band",Fitbit Inc,China,"September 23, 2022",27.22 g,1968.51 Inches,4.3,,,,,,,,,,,,,,,,,,,,,,,
https://www.amazon.com/Fitbit-Exercise-Equipment-6-Months-Membership/dp/B0CC62ZG1M/ref=zg_bs_g_5393958011_d_sccl_2/145-0980347-9463126?psc=1,"Fitbit Charge 6 Fitness Tracker with Google apps, Heart Rate on Exercise Equipment, 6-Months Premium Membership Included, GPS, Health Tools and More, Obsidian/Black, One Size (S & L Bands Included)",153.0,Check Page,Android,"Sleep Monitor, Multisport Tracker, ECG, Activity Tracker, GPS, Contactless Payments",Wi-Fi,Bluetooth,,Gps enabled,Rectangular,1.04,Fitbit,,6 x 4 x 4 inches,4.6 ounces,B0CC62ZG1M,GA05195-WW,1 Lithium Ion batteries required.,"4.1
8,792 ratings
4.1 out of 5 stars","#125 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#2 in Activity & Fitness Trackers",Android,Wi-Fi,"Sleep Monitor, Multisport Tracker, ECG, Activity Tracker, GPS, Contactless Payments",Wireless,Buttons,Black Case w/ Black Band,"Device, Band, Charging Cable",Fitbit,,"September 28, 2023",,1.04,4.1,4 GB,65 Milliamp Hours,,,,,,,,,,,,,,,,,,,,,
https://www.amazon.com/WHOOP-4-0-Month-Subscription-Optimization/dp/B0BWSF6H4Q/ref=zg_bs_g_5393958011_d_sccl_3/145-0980347-9463126?psc=1,"WHOOP 4.0 with 12 Month Subscription – Wearable Health, Fitness & Activity Tracker – Continuous Monitoring, Performance Optimization, Heart Rate Tracking – Improve Sleep, Strain, Recovery, Wellness",239.0,Check Page,,,,,,,,4 Inches,WHOOP,,"1.1""L x 0.4""W x 7.1""H",,B0BWSF6H4Q,,,"4.0
1,460 ratings
4.0 out of 5 stars","#770 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#4 in Activity & Fitness Trackers",,,,,,Onyx,,WHOOP,,"March 14, 2023",,,4.0,,,"Smartphones, Tablets, Laptops",5 days,Wearable,Lithium-Ion,810114360002,,,,,,,,,,,,,,,,
https://www.amazon.com/Amzhero-Pressure-Waterproof-Activity-Pedometer/dp/B0CDR56776/ref=zg_bs_g_5393958011_d_sccl_4/145-0980347-9463126?psc=1,"Health Fitness Tracker with 24/7 Heart Rate, Blood Oxygen, Blood Pressure, Sleep Tracker, 5ATM Waterproof Activity Trackers with Step Tracker, Pedometer (S & L Bands Included)…",49.99,69.99,,Heart Rate Monitor,,Bluetooth,Lithium Polymer,,,1.47 Inches,Amzhero,,10 x 3.1 x 0.6 inches,1.76 ounces,B0CDR56776,,1 Lithium Polymer batteries required. (included),"3.7
2,568 ratings
3.7 out of 5 stars","#1,096 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#6 in Activity & Fitness Trackers",,,Heart Rate Monitor,Wireless,Buttons,Spaceblack,S & L Bands,Amzhero,,"August 8, 2023",,1.47 Inches,3.7,,,Smartphone,,,,,Runfit D26,Unisex adult,Adult,300 Milliamp Hours,,,,,,,,,,,,
https://www.amazon.com/Fitness-Activity-Pedometer-Calories-Waterproof/dp/B0CC9DXVPF/ref=zg_bs_g_5393958011_d_sccl_5/145-0980347-9463126?psc=1,"Fitness Tracker Watch with Heart Rate Monitor, Large Screen Activity Tracker with Pedometer, Sleep Monitor, Calories & Step Counter, 5ATM Waterproof Smart Watch for Women Men Fitness Watch for Sports",19.99,Check Page,"Android 4.0 / iOS 8.0 or above, Bluetooth 4.0 or above","Activity Tracker, Sleep Monitor, Heart Rate Monitor, Pedometer, Calories Tracker, Time Display",Bluetooth,Bluetooth,Lithium Polymer,,Rectangular,1.3 Inches,LIVIKEY,,6.8 x 3.3 x 0.6 inches,0.08 Kilograms,B0CC9DXVPF,,1 Lithium Ion batteries required. (included),"4.0
540 ratings
4.0 out of 5 stars","#677 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#3 in Activity & Fitness Trackers",,,,,,Black,,LIVIKEY,China,"July 19, 2023",,1.3 Inches,4.0,,,,,,,,Modern,,,,,,,,,,,,,,,
https://www.amazon.com/VPSTAY-Waterproof-Pedometer-Activity-SmartWatches/dp/B0CSW7S8VH/ref=zg_bs_g_5393958011_d_sccl_6/145-0980347-9463126?psc=1,"Fitness Tracker Watch with 24/7 Heart Rate Sleep Blood Oxygen Monitor, IP68 Waterproof Smart Watch, Step Calorie Counter Pedometer Health Activity Trackers and SmartWatches for Men Women",45.98,63.97,anyloop APP,"Lightweight, Heart Rate Sleep Blood Oxygen Monitor, Activity Tracker, Alarm Clock, Notifications",Bluetooth,,Lithium Polymer,GPS Via Smartphone,Rectangular,1.47 Inches,VPSTAY,,,,B0CSW7S8VH,,,"4.1
1,030 ratings
4.1 out of 5 stars","#5,221 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#41 in Activity & Fitness Trackers",,,,,,,,,,"January 20, 2024",,,4.1,64 MB,185 Milliamp Hours,,,,,,,,,,,,,,,,,,,,,
https://www.amazon.com/SAMSUNG-Display-Watchfaces-Exercise-International/dp/B0CW3VWC3X/ref=zg_bs_g_5393958011_d_sccl_7/145-0980347-9463126?psc=1,"SAMSUNG Galaxy FIT 3 [2024] 1.6"" AMOLED Display | 14 Days Battery Life | 100+ Watchfaces | 100+ Exercise Modes | International Model -",49.99,54.99,Android,Activity Tracker,Bluetooth,,,,Rectangular,1.6 Inches,SAMSUNG,Samsung Galaxy Fit 3,,,B0CW3VWC3X,,,"4.1
493 ratings
4.1 out of 5 stars","#1,250 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#7 in Activity & Fitness Trackers
#9 in Electronics & Gadgets",,,,,,,,,,"February 21, 2024",,,4.1,2 GB,208 Milliamp Hours,,,,,,Casual,,,,,,,,,,,,,,,
https://www.amazon.com/Fitness-Tracker-Pressure-Pedometer-Waterproof/dp/B0CSD1JXSJ/ref=zg_bs_g_5393958011_d_sccl_8/145-0980347-9463126?psc=1,"Smart Watch Health Fitness Tracker with 24/7 Heart Rate, Blood Oxygen Blood Pressure Sleep Monitor, 115 Sports Modes, Step Calorie Counter Pedometer IP68 Waterproof for Android and iPhone Women Men",39.99,69.99,android,"Pedometer, 24/7 Heart Rate Monitor, Blood Oxygen Monitor, Blood Pressure Monitor, Calls and Messages Notification, Tracking More than 115 Sports Activi… See more",USB,,Lithium Polymer,GPS Via Smartphone,Rectangular,1.47 Inches,Mindrose,Fitness Tracker Watch,,,B0CSD1JXSJ,,,"4.2
828 ratings
4.2 out of 5 stars","#3,169 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#23 in Activity & Fitness Trackers",,,,,,,,,,"March 31, 2024",,,4.2,,,,,,,,Modern,,,,,,,,,,,,,,,
https://www.amazon.com/ENGERWALL-Smartwatch-Temperature-Pedometer-Notifications/dp/B08PF9V27X/ref=zg_bs_g_5393958011_d_sccl_9/145-0980347-9463126?psc=1,"ENGERWALL Fitness Tracker with Step Counter/Calories/Stopwatch, Activity Tracker with Heart Rate Monitor, IP68, Health Tracker with Sleep Tracker, Smartwatch, Pedometer Watch for Women Men Kids",20.99,29.99,,"Activity Tracker, Blood Pressure Monitor, Sleep Monitor, Notifications, GPS, Pedometer, Body Temperature Monitor, Waterproof, Sedentary Re… See more",Bluetooth,Bluetooth,Lithium Polymer,GPS Via Smartphone,Rectangular,0.96 Inches,ENGERWALL,New upgrade (S5-3),,,B08PF9V27X,,,"3.7
6,694 ratings
3.7 out of 5 stars","#2,153 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#14 in Activity & Fitness Trackers",,,,,,,,,,"December 5, 2020",,,3.7,,100 Milliamp Hours,,,,,,,,,,,,,,,,,,,,,
https://www.amazon.com/FITVII-Pressure-Tracking-Waterproof-Activity/dp/B0CWRJK78S/ref=zg_bs_g_5393958011_d_sccl_10/145-0980347-9463126?psc=1,"FITVII Health & Fitness Tracker 2024 (Answer/Make Calls), Smart Watch with 24/7 Heart Rate and Blood Pressure, Sleep Tracking, Blood Oxygen Monitor, 120+ Sport Mode Waterproof Activity Tracker",49.99,79.99,"Android,ios","Sedentary Reminder, Pedometer",Bluetooth,Bluetooth,Lithium Ion,GPS Via Smartphone,Rectangular,1.85 Inches,FITVII,HM57,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,
