date,steps,distance,runDistance,calories
4/27/2016,4948,3242,46,281
4/28/2016,16573,12060,79,751
4/29/2016,18002,12916,29,737
4/30/2016,4126,2981,11,207
5/1/2016,3869,2651,0,244
5/2/2016,10004,7330,0,426
5/3/2016,14565,11022,55,616
5/4/2016,6295,4341,0,315
5/5/2016,12424,10207,2968,587
5/6/2016,7964,5736,209,345
5/7/2016,9518,7071,0,456
5/8/2016,4088,3119,0,197
5/9/2016,1958,1266,0,134
5/10/2016,4534,2974,48,270
5/11/2016,2569,1661,0,198
5/12/2016,10398,7728,64,500
5/13/2016,4276,2809,0,251
5/14/2016,4591,3314,0,264
5/15/2016,3164,2094,0,190
5/16/2016,5880,4415,46,253
5/17/2016,2499,1615,0,135
5/18/2016,7824,5584,65,387
5/19/2016,9053,6697,18,431
5/20/2016,12367,8560,110,614
5/21/2016,11307,8250,0,454
5/22/2016,1531,990,0,119
5/23/2016,2585,1671,0,165
5/24/2016,12141,8997,106,529
5/25/2016,9159,6433,399,455
5/26/2016,15682,11175,133,667
5/27/2016,16859,11675,698,698
5/28/2016,1480,957,0,108
5/29/2016,19521,13842,43,805
5/30/2016,4950,3603,0,214
5/31/2016,3575,2313,0,239
6/1/2016,11677,8641,0,535
6/2/2016,3755,2918,0,187
6/3/2016,5117,3402,49,245
6/4/2016,5896,3947,0,311
6/5/2016,3294,2129,0,205
6/6/2016,7644,5372,0,366
6/7/2016,9196,6306,0,434
6/8/2016,11668,8231,0,482
6/9/2016,4698,3037,19,290
6/10/2016,13407,9340,58,631
6/11/2016,10886,7569,137,491
6/12/2016,3912,2529,22,248
6/13/2016,9188,6839,0,381
6/14/2016,5231,3502,107,280
6/15/2016,13878,10191,82,603
6/16/2016,11051,7398,11,483
6/17/2016,8004,5495,110,412
6/18/2016,30386,21052,567,1104
6/19/2016,37375,26057,277,1333
6/20/2016,26579,18860,240,1015
6/21/2016,29694,21190,122,1114
6/22/2016,23866,16846,180,861
6/23/2016,30013,21454,0,1051
6/24/2016,21101,14760,53,889
6/25/2016,22026,15974,2310,855
6/26/2016,1895,1225,0,133
